Pair,Total_Return,Cumulative_Return,Annualized_Return,Sharpe_Ratio,Max_Drawdown,Total_Trades,Win_Rate,Profit_Factor,Net_PnL,Transaction_Costs,Status
ABSLAMC-APCL,-0.30,-0.30,-0.20,-1.190,0.30,3,0.0,0.00,-302.07,364.70,POOR
AAREYDRUGS-AJRINFRA,-6.37,-6.37,-3.66,-2.349,6.37,9,0.0,0.00,-6374.85,6303.27,POOR
AARVEEDEN-ALPSINDUS,-1123.00,-1123.00,nan,0.205,1115.36,1978,6.0,0.05,-1122999.30,1123917.96,POOR
AARVI-ADANITRANS,-1.37,-1.37,-0.49,-0.209,6.21,124,29.0,0.88,-1370.51,6860.47,POOR
AAVAS-AMRUTANJAN,-57.65,-57.65,-12.90,-5.722,57.65,300,4.3,0.02,-57649.53,57202.99,POOR
AFFLE-AMRUTANJAN,-28.39,-28.39,-6.51,-4.101,28.73,199,8.5,0.07,-28392.81,29326.87,POOR
AGSTRA-AJRINFRA,-7.75,-7.75,-7.24,-1.747,7.75,3,0.0,0.00,-7751.40,8653.62,POOR
AGSTRA-ANURAS,0.00,0.00,0.00,0.000,0.00,0,0.0,0.00,0.00,0.00,POOR
ADANITRANS-AMRUTANJAN,-207.65,-207.65,nan,-0.423,205.67,898,14.1,0.29,-207646.29,220664.12,POOR
AARVEEDEN-AFFLE,-30.10,-30.10,-10.68,-2.200,30.51,258,23.6,0.33,-30100.32,14098.92,POOR
PORTFOLIO (FIXED),-62.73,-62.73,-8.45,-0.336,81.93,3772,9.9,0.11,-1462587.07,1467392.91,PORTFOLIO
