Pair,Train_Accuracy,Test_Accuracy,Data_Points,Hedge_Ratios,Status
ABSLAMC-APCL,1.000,0.942,173,"3minute:1.2498, 5minute:1.2498, 10minute:1.2498, 15minute:1.2498",EXCELLENT
AAREYDRUGS-AJRINFRA,1.000,0.952,210,"3minute:11.9700, 5minute:11.9700, 10minute:11.9700, 15minute:11.9700",EXCELLENT
AARVEEDEN-ALPSINDUS,0.987,0.893,1339,"3minute:9.5200, 5minute:9.5200, 10minute:9.5200, 15minute:9.5200",EXCELLENT
AARVI-ADANITRANS,0.997,0.913,459,"3minute:0.0261, 5minute:0.0261, 10minute:0.0261, 15minute:0.0261",EXCELLENT
AAVAS-AMRUTANJAN,1.000,0.911,825,"3minute:2.5309, 5minute:2.5309, 10minute:2.5309, 15minute:2.5309",EXCELLENT
AFFLE-AMRUTANJAN,1.000,0.902,642,"3minute:1.7287, 5minute:1.7287, 10minute:1.7287, 15minute:1.7287",EXCELLENT
AGSTRA-AJRINFRA,1.000,0.903,103,"3minute:52.9865, 5minute:52.9865, 10minute:52.9865, 15minute:52.9865",EXCELLENT
AGSTRA-ANURAS,1.000,0.935,103,"3minute:0.1929, 5minute:0.1929, 10minute:0.1929, 15minute:0.1929",EXCELLENT
ADANITRANS-AMRUTANJAN,0.998,0.894,1510,"3minute:3.5504, 5minute:3.5504, 10minute:3.5504, 15minute:3.5504",EXCELLENT
AARVEEDEN-AFFLE,1.000,0.896,642,"3minute:0.0143, 5minute:0.0143, 10minute:0.0143, 15minute:0.0143",EXCELLENT
