Pair,Total_Return,Cumulative_Return,Annualized_Return,Sharpe_Ratio,Max_Drawdown,Total_Trades,Win_Rate,Profit_Factor,Net_PnL,Transaction_Costs,Status
ABSLAMC-APCL,-10.77,-10.77,-7.10,-5.330,11.12,878,32.2,0.47,-10767.04,19755.30,POOR
AAREYDRUGS-AJRINFRA,-46.04,-46.04,-29.43,-8.894,46.36,693,26.1,0.26,-46036.71,90202.19,POOR
AARVEEDEN-ALPSINDUS,-186.54,-186.54,nan,0.386,203.44,3976,22.9,0.50,-186539.53,418418.88,POOR
AARVI-ADANITRANS,60.90,60.90,18.19,5.148,1.07,1870,47.9,2.54,60900.38,19207.79,EXCELLENT
AAVAS-AMRUTANJAN,-114.18,-114.18,nan,-0.110,114.18,4081,23.6,0.26,-114179.00,144114.47,POOR
AFFLE-AMRUTANJAN,-29.02,-29.02,-6.67,-1.717,29.92,3079,42.2,0.76,-29017.30,84031.25,POOR
AGSTRA-AJRINFRA,-182.42,-182.42,nan,0.824,182.42,394,1.3,0.00,-182415.60,213609.38,POOR
AGSTRA-ANURAS,4.01,4.01,3.66,1.584,1.42,715,58.5,1.22,4012.64,8531.42,FAIR
ADANITRANS-AMRUTANJAN,611.81,611.81,19.18,1.730,24.18,7101,46.9,1.71,611812.10,323186.61,EXCELLENT
AARVEEDEN-AFFLE,144.53,144.53,32.52,7.484,1.51,2018,51.4,4.14,144530.08,20506.65,EXCELLENT
PORTFOLIO (OPTIMIZED),207.21,207.21,10.56,0.387,49.54,24805,37.6,1.13,252300.01,1341563.95,PORTFOLIO
